,ExterCond,Fireplaces,BsmtQual,GarageCars,BsmtFinType1,BsmtUnfSF,MSSubClass_50,years_since_remodeled_,BsmtFullBath,MSSubClass_60,HouseStyle_SFoyer,LotArea,TotRmsAbvGrd,log_OpenPorchSF,BsmtFinType2,BldgType_TwnhsE,MSSubClass,yeo_GarageArea,MiscVal,FullBath,BedroomAbvGr,BsmtCond,MSSubClass_30,HouseStyle_2Story,house_age_,KitchenQual,HeatingQC,2ndFlrSF,log_MasVnrArea,FireplaceQu,log_WoodDeckSF,BsmtFinSF2,PavedDrive_Y,GarageYrBlt,OverallQual,bc_LotArea,BsmtFinSF1,HalfBath,yeo_TotalBsmtSF,GrLivArea,LotShape,LandSlope,yeo_LotFrontage,ExterQual,log_first_FlrSF,GarageQual,bc_GrLivArea
1232,3,1,4,2.0,6,638.0,0,30,0.0,1,0,10140,8,3.367295829986474,1,0,60,201.8259914428329,0,2,4,3,0,1,30,3,3,832,0.0,3,0.0,0.0,1,1976.0,7,56.07939868587394,194.0,1,247.4660905785483,1664,4,3,34.65979590864584,3,6.723832440821209,3,8.907846904735647
2381,3,1,3,1.0,3,457.0,0,59,0.0,0,0,12144,6,3.367295829986474,1,0,40,122.85981500399508,0,1,3,3,0,0,60,3,4,0,0.0,4,0.0,0.0,1,1949.0,5,59.579181668947605,375.0,0,247.4660905785483,1268,4,3,28.270628470312467,4,6.943122422819428,3,8.522448297415627
810,3,1,4,2.0,6,100.0,0,12,0.0,0,0,8400,7,4.290459441148391,1,0,80,157.50612372509877,490,2,3,3,0,0,13,3,4,670,3.4965075614664802,3,3.8918202981106265,0.0,1,1996.0,7,52.63428353592133,284.0,1,134.532315321316,1628,4,3,28.270628470312467,3,6.86484777797086,3,8.876645283893872
863,3,1,4,3.0,6,628.0,0,3,0.0,1,0,11764,9,4.060443010546419,1,0,60,245.52402213983603,0,2,4,3,0,1,11,4,5,1106,5.855071922202427,4,4.890349128221754,0.0,1,1999.0,8,58.94756884561391,524.0,1,319.6863714260186,2270,3,3,39.38333224974188,4,7.059617628291383,3,9.354420502625905
1346,4,0,3,2.0,5,26.0,0,21,0.0,0,0,9000,7,0.0,1,0,70,135.3128047721533,0,1,3,3,0,1,89,3,5,650,0.0,0,0.0,0.0,1,1930.0,7,53.87295782163181,624.0,0,203.7451902151787,1482,4,3,24.524111984914725,3,6.723832440821209,3,8.742978717990827
367,4,2,3,2.0,5,605.0,1,56,0.0,0,0,5000,7,3.2188758248682006,1,0,50,167.35883249027114,0,2,3,3,0,0,59,3,5,660,0.0,4,0.0,0.0,1,1950.0,6,44.142539747319454,399.0,0,286.9088993759099,1664,4,3,24.524111984914725,3,6.911747300251674,3,8.907846904735647
377,3,0,3,1.0,1,732.0,1,57,0.0,0,0,6060,4,0.0,1,0,50,114.39852397412274,0,1,3,3,0,0,68,3,4,351,0.0,0,0.0,0.0,0,1979.0,4,47.127363094454665,0.0,0,223.7323865702934,1123,4,3,24.524111984914725,3,6.648984550024776,3,8.351863476554275
316,3,1,3,1.0,1,720.0,1,58,0.0,0,0,21286,7,0.0,1,0,50,131.19167646468085,0,2,4,3,0,0,60,3,3,551,0.0,4,0.0,0.0,1,1948.0,5,71.84919073605587,0.0,0,220.83885784791423,1271,4,3,46.78521278746147,3,6.579251212010101,3,8.52577770058344
1212,3,1,5,3.0,1,1736.0,0,1,0.0,0,0,11578,7,4.51085950651685,1,0,20,293.27695105953615,0,2,3,3,0,0,1,5,5,0,5.713732805509369,4,5.768320995793772,0.0,1,2008.0,9,58.63333202463443,0.0,0,441.31613051965945,1736,4,3,40.372187275017524,5,7.459338895220296,3,8.968367722339952
1751,3,0,3,0.0,5,0.0,0,58,1.0,0,0,6130,5,0.0,1,0,45,0.0,0,1,2,3,0,0,84,4,4,0,0.0,0,0.0,0.0,1,1924.0,5,47.31150420537277,784.0,0,236.1555533334535,784,4,3,24.524111984914725,3,6.664409020350408,0,7.852860634813347
868,3,1,4,2.0,6,434.0,0,6,1.0,1,0,11250,6,3.7612001156935624,1,0,60,226.50945968957643,0,2,3,3,0,1,7,4,5,866,5.093750200806762,3,0.0,0.0,1,2001.0,7,58.07070404147578,486.0,1,267.84537356796227,1786,3,3,31.160195076430394,4,6.824373670043086,3,9.00900579122176
1250,3,1,3,1.0,4,219.0,0,46,1.0,0,0,7936,6,0.0,1,0,20,114.39852397412274,0,1,3,3,0,0,46,3,3,0,0.0,2,0.0,0.0,1,1963.0,6,51.63434993986389,826.0,0,296.0876509450416,1045,4,3,35.34637450025126,3,6.951772164398911,3,8.251210561082523
1445,3,1,4,2.0,1,808.0,0,16,0.0,1,0,9636,7,3.713572066704308,1,0,60,157.1753380721082,0,2,3,3,0,1,17,3,4,785,0.0,3,5.8377304471659395,0.0,1,1993.0,6,55.12594332874637,0.0,1,241.82893419722348,1593,3,3,29.90666036374912,3,6.694562058521095,3,8.845674130799221
899,3,0,3,1.0,5,207.0,0,34,0.0,0,0,1680,5,0.0,1,0,160,114.39852397412274,0,1,2,3,0,1,34,3,3,465,6.22455842927536,0,0.0,0.0,1,1972.0,6,30.271612441885868,276.0,1,161.22470494972495,948,4,3,12.365703222657439,3,6.180016653652572,3,8.115552107047126
1912,3,0,4,2.0,6,1077.0,0,11,1.0,0,0,7380,5,3.784189633918261,1,0,120,191.44621785606765,0,2,2,3,0,0,11,3,5,0,0.0,0,5.1298987149230735,0.0,1,1998.0,8,50.38220014183371,341.0,0,376.42193488843145,1478,3,3,28.636666376360854,3,7.298445101508147,3,8.739142773722117
88,3,0,3,2.0,2,740.0,0,59,0.0,0,0,6911,5,0.0,1,0,30,173.8547455248797,0,1,2,3,1,0,85,2,3,0,0.0,0,0.0,0.0,1,1965.0,5,49.274965604770465,405.0,0,318.1574386909622,1301,4,3,28.270628470312467,3,7.170888478512505,3,8.558666291055681
1166,3,0,3,1.0,3,327.0,0,39,0.0,0,0,1680,5,0.0,1,0,160,114.39852397412274,0,1,2,3,0,1,39,3,3,504,6.22455842927536,0,5.62040086571715,0.0,1,1971.0,6,30.271612441885868,156.0,1,161.22470494972495,987,4,3,12.365703222657439,3,6.180016653652572,3,8.171616418267474
1924,3,0,3,1.0,5,536.0,0,36,0.0,0,0,7340,4,0.0,1,0,20,249.4056305534918,0,1,2,3,0,0,36,3,3,0,0.0,0,0.0,0.0,1,1979.0,4,50.289670191901074,322.0,0,253.53359739303303,858,3,3,32.924431198975604,3,6.754604099487962,3,7.977300535822354
1522,3,0,4,2.0,5,677.0,0,31,0.0,0,0,2529,4,3.6635616461296463,1,0,120,173.8547455248797,0,2,2,3,0,0,31,3,2,0,0.0,0,0.0,0.0,1,1977.0,7,34.91872134177715,378.0,0,298.3144948089415,1055,4,3,13.75462600560351,3,6.961296045910167,3,8.264507041184578
144,3,0,3,2.0,5,0.0,0,40,1.0,0,0,8400,4,0.0,3,0,20,200.887444088523,0,1,2,3,0,0,40,3,3,0,0.0,0,5.484796933490655,78.0,1,1970.0,4,52.63428353592133,804.0,0,259.0992596905883,882,4,3,31.869513131926702,3,6.782192056006791,3,8.015470601067085
65,3,2,5,3.0,6,278.0,0,5,2.0,0,0,12720,7,4.189654742026425,1,0,20,280.28181846205274,0,1,1,3,0,0,5,5,5,0,6.523562306149512,4,5.043425116919247,0.0,1,2003.0,10,60.511376694350574,2257.0,1,594.2117162822841,2470,4,2,43.93580340653916,5,7.8119734296220225,3,9.476996114086353
908,3,0,3,2.0,1,1252.0,0,49,0.0,0,0,10721,7,3.6888794541139363,1,0,20,201.8259914428329,0,1,3,3,0,0,49,4,5,0,5.497168225293202,0,0.0,0.0,1,1960.0,6,57.139249889326244,0.0,0,341.3164397218942,1252,3,3,35.34637450025126,4,7.132497551660044,3,8.50456382927567
2540,3,0,3,0.0,1,1768.0,0,42,0.0,0,0,10778,8,0.0,1,0,90,0.0,0,2,4,3,0,0,42,3,3,0,0.0,0,0.0,0.0,1,1968.0,4,57.24110011001031,0.0,0,447.69694816139656,1768,4,3,32.57397198464001,3,7.477604243197589,0,8.994502310096271
2062,3,1,4,2.0,6,438.0,0,7,0.0,1,0,8220,8,0.0,1,0,60,170.93849440292942,0,2,3,3,0,1,8,3,5,884,6.473890696352274,3,4.6913478822291435,0.0,1,2000.0,7,52.25095931489548,544.0,1,281.9504917895947,1892,3,3,32.222339398574626,4,6.915723448631314,3,9.091692192679869
1086,3,0,3,1.0,1,1194.0,0,51,1.0,0,0,8760,6,0.0,1,0,20,131.19167646468085,0,1,3,3,0,0,51,3,3,0,5.3981627015177525,0,0.0,0.0,1,1959.0,6,53.384450196846885,0.0,0,328.81842058533294,1194,4,3,32.924431198975604,3,7.085064293952548,3,8.437855902332142
530,3,0,4,1.0,6,282.0,0,31,0.0,0,0,16269,5,0.0,1,0,20,141.78088967442213,0,1,3,3,0,0,31,3,3,0,4.343805421853684,0,4.290459441148391,0.0,1,1978.0,5,65.69887332156871,625.0,0,264.8622101416899,907,3,3,31.869513131926702,3,6.810142450115136,3,8.05419367366514
1668,3,1,4,2.0,1,279.0,0,21,0.0,0,0,18044,6,4.174387269895637,1,0,20,251.49006092278236,0,2,2,3,0,0,21,4,4,0,0.0,4,5.37989735354046,0.0,1,1986.0,8,68.00619840336303,0.0,1,104.52295829505945,2726,3,3,31.869513131926702,4,7.9105906122564775,4,9.620784546546952
1201,3,1,4,3.0,1,1595.0,0,4,0.0,0,0,8987,6,0.0,1,0,20,306.42733029723854,0,2,2,3,0,0,5,4,5,0,5.424950017481403,4,4.976733742420574,0.0,1,2005.0,8,53.84672598891331,0.0,0,412.8897040873494,1595,4,3,32.924431198975604,4,7.374629015218945,3,8.847461282304971
2419,3,1,2,2.0,1,482.0,0,8,0.0,0,0,10800,7,3.258096538021482,1,0,190,245.82309848174532,0,2,3,3,0,0,103,3,5,691,0.0,3,0.0,0.0,1,2003.0,6,57.28031251820945,0.0,0,160.96138350508923,1912,4,3,28.270628470312467,3,7.107425474110705,4,9.10679727567214
78,3,0,3,1.0,1,525.0,0,39,0.0,0,0,1680,6,0.0,1,0,160,114.39852397412274,0,1,3,3,0,1,39,3,3,567,5.945420608606575,0,0.0,0.0,1,1971.0,6,30.271612441885868,0.0,1,172.1816453090377,1092,4,3,12.365703222657439,3,6.263398262591624,3,8.312682258123306
1515,3,0,4,2.0,2,364.0,0,1,0.0,0,0,8800,5,0.0,3,0,20,187.95815213364466,0,2,3,3,0,0,32,4,3,0,0.0,0,0.0,144.0,1,1977.0,5,53.46649629559412,532.0,0,294.97250707473404,1040,3,3,28.636666376360854,3,6.946975992135418,3,8.24451682919877
401,3,0,3,1.0,3,79.0,0,37,1.0,0,0,1680,5,0.0,2,0,160,122.85981500399508,0,1,2,3,0,1,37,3,3,504,6.054439346269371,0,0.0,294.0,1,1972.0,6,30.271612441885868,110.0,1,161.22470494972495,987,4,3,12.365703222657439,3,6.180016653652572,3,8.171616418267474
1297,3,0,4,2.0,5,275.0,0,33,0.0,0,0,2308,7,0.0,2,1,160,180.2962522778177,0,2,4,3,0,1,33,3,4,601,0.0,0,0.0,294.0,1,1975.0,6,33.826676339535695,286.0,1,252.835545245452,1456,4,3,13.75462600560351,3,6.75110146893676,3,8.717866767926164
268,3,1,4,2.0,1,384.0,0,4,0.0,0,0,9434,6,0.0,1,0,80,160.8054335895988,0,2,3,3,0,0,5,4,5,630,0.0,4,4.61512051684126,0.0,1,2004.0,7,54.73425736577821,0.0,1,134.532315321316,1374,3,3,27.90312344068955,4,6.612041034833092,3,8.635773317565382
2082,3,1,4,2.0,1,1064.0,0,35,0.0,0,0,10140,7,0.0,1,0,20,186.04940105524466,0,2,3,3,0,0,35,3,3,0,5.1647859739235145,3,0.0,0.0,1,1974.0,6,56.07939868587394,0.0,0,300.31476438779515,1350,4,3,34.65979590864584,3,7.2078598714324755,3,8.610862532938128
