,SalePrice
1232,162900
2381,133000
810,189000
863,290000
1346,143000
367,159000
377,100000
316,135000
1212,360000
1751,109500
868,223500
1250,127000
1445,178000
899,89000
1912,240000
88,100000
1166,96000
1924,110000
1522,148500
144,126000
65,615000
908,142000
2540,136500
2062,226750
1086,148000
530,140000
1668,315000
1201,221500
2419,163000
78,88000
1515,150500
401,97000
1297,143000
268,170000
2082,165000
1584,138400
244,342000
735,134500
2154,127000
2490,128500
932,180500
1263,140000
814,250000
1807,234500
845,110000
389,135960
1768,122000
1976,169000
1446,268500
898,200000
2288,159900
2296,122000
1303,160000
500,128000
107,75500
1647,129000
86,160500
206,260000
16,203000
483,119000
1540,146000
120,153000
1928,316000
1781,123000
2233,143000
511,128000
1281,239000
715,79500
1841,96500
2141,176500
666,310000
1799,108000
2234,137000
645,194500
954,130000
1165,130000
1188,128000
1100,135000
611,142500
2294,148400
2374,89500
994,315750
1244,217000
841,120000
808,129000
1553,237000
806,192500
940,142600
1389,139000
317,164000
750,160000
191,99000
304,162500
2095,135000
1043,150000
790,143250
2460,441929
1963,161000
2555,224900
423,398800
525,140000
1340,91000
1964,79000
1235,180000
575,126000
300,280750
1730,111250
1347,221000
1344,219500
1128,141000
583,200825
2572,109900
2560,170000
2058,106500
2437,173000
2398,242000
147,145000
2136,135500
2320,166500
266,164500
821,131000
796,301000
848,327000
1230,125000
2173,198000
2020,372000
1592,152500
2427,128500
1283,135000
2179,238000
1295,235000
2303,84900
1021,320000
2494,222500
301,87000
2053,109000
1846,179200
1020,230000
555,260000
2127,177000
929,178740
2407,139000
2269,379000
2006,137500
1156,166000
2425,55000
1353,135750
368,159000
142,145000
631,132500
1803,127000
35,220000
1908,226500
2121,129000
1790,139000
384,192000
1787,106000
1081,110000
2054,170000
2268,224000
2230,94550
1216,189500
238,91000
2553,126000
1623,130000
1688,183500
2061,145250
2534,152000
515,129850
965,185000
2380,189000
2486,68000
1206,141500
640,246578
62,222000
2342,159895
2321,188500
1753,297000
231,168000
2180,165000
1286,230000
535,135000
93,118000
1701,155000
528,89500
1610,103600
1300,119750
1907,225000
1956,191000
1408,150000
2361,173000
73,392500
2438,93000
777,140000
37,61500
1585,207500
1415,115000
123,127000
1704,150900
2421,320000
145,200000
1732,165000
2277,188500
273,155891
1427,244000
227,64000
1533,62383
2157,200000
2356,180000
2318,141000
2377,215000
1383,225000
1886,135000
2218,345000
2023,241500
1471,293200
2359,211000
155,113000
436,143500
1823,146000
1982,184000
598,155000
1788,101000
365,119000
1514,175900
626,246500
43,133500
2241,132000
6,93000
56,395000
1116,59000
665,132000
1004,277500
44,148000
359,217000
520,95000
1258,134000
2549,200000
531,160000
318,128500
700,109500
1394,195000
1801,96000
1741,111000
653,145000
1031,82500
2305,155500
736,133000
2255,138500
2343,143000
547,125500
2564,159000
909,216000
1729,154400
1989,139000
1236,110000
1507,279000
2142,155900
221,75200
482,136000
1158,136900
1002,116000
342,380000
561,175000
1566,337000
67,254000
1124,270000
2075,152500
1941,108500
143,220000
1047,286500
1101,140000
1119,200000
594,162000
2558,163000
1192,158000
1615,178900
2076,185000
103,468000
2085,94000
284,152000
1275,119164
189,112500
2137,113000
1915,145400
2459,129500
738,159500
2409,187000
20,181000
477,234250
55,140000
1444,164500
1627,76500
