,Unnamed: 0.1,PID,GrLivArea,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MSSubClass.1,MoSold.1,MSZoning_C (all),MSZoning_FV,MSZoning_I (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_None,Alley_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSewr,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_PreCast,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_PreCast,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mixed,Electrical_SBrkr,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,GarageFinish_No,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_No,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,log_2ndFlrSF,yeo_LotFrontage,log_LotFrontage,log_BsmtUnfSF,log_EnclosedPorch,bc_GrLivArea,log_LotArea,log_MasVnrArea,yeo_TotalBsmtSF,log_first_FlrSF,yeo_GarageArea,log_WoodDeckSF,log_OpenPorchSF,has_pool,log_BsmtFinSF1
1711,712,535303150,1319,20,RL,79.0,10634,Pave,None,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3,3,0,4,428.0,2,180.0,0.0,608.0,GasA,3,Y,SBrkr,1319,0,0,1.0,0.0,1,0,3,1,3,5,6,0,0,Attchd,1953.0,Unf,1.0,270.0,3,3,Y,66,0,0,0,0,0,,GdWo,No,0,11,2009,WD ,Normal,20,11,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0,33.32144007568393,4.382026634673881,0.0,0.0,8.30674939456856,9.271811694064283,0.0,197.8038078045055,7.1846291527173145,115.2982571060584,4.204692619390966,0.0,False,6.061456918928017
1729,730,905452040,1639,60,RL,50.0,9350,Pave,None,4,Bnk,AllPub,Inside,3,Edwards,Norm,Norm,1Fam,2Story,6,7,1946,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,4,342.0,1,0.0,405.0,747.0,GasA,5,Y,SBrkr,892,747,0,0.0,0.0,1,1,3,1,4,6,8,1,4,Detchd,1946.0,Unf,1.0,240.0,3,3,Y,0,50,0,0,0,0,,No,No,0,7,2009,WD ,Normal,60,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,6.617402977974478,23.48993695597975,3.9318256327243257,6.0063531596017325,0.0,8.596412454147881,9.143131622282732,0.0,232.83992360085696,6.79346613258001,104.70666334803434,0.0,3.9318256327243257,False,5.8377304471659395
2407,591,535380140,1436,50,RL,60.0,10836,Pave,Grvl,4,Lvl,AllPub,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0.0,1,0.0,892.0,892.0,GasA,5,Y,SBrkr,1254,182,0,0.0,1.0,1,0,3,1,3,7,8,1,4,Detchd,1968.0,Unf,4.0,1488.0,2,3,N,0,0,100,0,0,0,,GdWo,No,0,6,2008,WD ,Normal,50,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5.209486152841421,27.012664753005513,4.110873864173311,6.794586580876499,4.61512051684126,8.419788755617876,9.290629203204986,0.0,267.9449623697648,7.134093721192866,463.73255693622485,0.0,0.0,False,0.0
287,288,527254020,2046,20,RL,80.0,11844,Pave,None,3,Lvl,AllPub,Inside,3,StoneBr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,464.0,4,3,PConc,5,3,1,1,0.0,1,0.0,2046.0,2046.0,GasA,5,Y,SBrkr,2046,0,0,0.0,0.0,2,1,3,1,4,7,8,1,4,Attchd,2008.0,Fin,3.0,834.0,3,3,Y,322,82,0,0,0,0,,No,No,0,7,2009,New,Partial,20,7,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,33.641936302555735,4.394449154672439,7.624130585661289,0.0,8.894767328667882,9.379576689221482,6.142037405587356,516.5639603393168,7.6236419465115715,289.4268533627277,5.777652323222656,4.418840607796598,False,0.0
2410,594,528116030,1850,20,RL,98.0,16033,Pave,None,3,Lvl,AllPub,FR2,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,378.0,4,3,PConc,5,3,3,6,1261.0,1,0.0,572.0,1833.0,GasA,5,Y,SBrkr,1850,0,0,1.0,0.0,2,0,3,1,4,8,8,1,4,Attchd,2004.0,Fin,3.0,772.0,3,3,Y,519,112,0,0,0,0,,No,No,0,3,2006,WD ,Normal,20,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0,39.249437065273895,4.59511985013459,6.35088571671474,0.0,8.758985544456548,9.682404377188837,5.937536205082426,473.5856529576748,7.52294091807237,271.7717041689112,6.253828811575473,4.727387818712341,False,7.140453043101158
733,734,528120030,1743,20,RL,87.0,10367,Pave,None,3,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,284.0,5,3,PConc,5,3,1,6,1015.0,1,0.0,724.0,1739.0,GasA,5,Y,SBrkr,1743,0,0,1.0,0.0,2,0,3,1,5,8,8,1,4,Attchd,2008.0,RFn,3.0,927.0,3,3,Y,168,45,0,0,0,0,,No,No,0,6,2009,ConLI,Normal,20,6,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.0,35.85757781591734,4.477336814478207,6.586171654854675,0.0,8.678906513583142,9.246382963323112,5.652489180268651,454.2872389620126,7.463363045520021,315.4571310940477,5.1298987149230735,3.828641396489095,False,6.923628628138427
512,513,528108020,2042,20,RL,98.0,12704,Pave,None,4,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,306.0,5,3,PConc,5,3,0,1,0.0,1,0.0,2042.0,2042.0,GasA,5,Y,SBrkr,2042,0,0,0.0,0.0,2,1,3,1,5,8,8,1,4,Attchd,2009.0,RFn,3.0,1390.0,3,3,Y,0,90,0,0,0,0,,No,No,0,8,2009,New,Partial,20,8,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.0,39.249437065273895,4.59511985013459,7.622174594817622,0.0,8.89212350307767,9.449672183486918,5.726847747587197,515.7658602664955,7.621684998724611,438.71916749965055,0.0,4.51085950651685,False,0.0
766,767,902405120,1480,50,RM,60.0,5400,Pave,None,4,Lvl,AllPub,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,6,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,BrkTil,3,3,0,1,0.0,1,0.0,972.0,972.0,GasA,5,Y,SBrkr,1044,0,436,0.0,0.0,1,0,3,1,3,6,8,0,0,Detchd,1920.0,Unf,1.0,207.0,2,3,Y,0,0,176,0,0,0,,No,No,0,9,2009,ConLI,Family,50,9,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.0,27.012664753005513,4.110873864173311,6.880384082186005,5.176149732573829,8.46002237314021,8.594154232552366,0.0,286.78933061332725,6.950814768442584,92.76420660121813,0.0,0.0,False,0.0
1673,674,908152035,1149,20,RL,80.0,10682,Pave,None,4,Lvl,AllPub,Inside,3,Edwards,Norm,Norm,1Fam,1Story,4,6,1960,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,6,399.0,1,0.0,615.0,1014.0,GasA,3,Y,SBrkr,1149,0,0,1.0,0.0,1,0,3,1,3,7,7,0,0,2Types,1968.0,Fin,1.0,544.0,3,3,Y,0,240,0,0,0,0,,MnPrv,No,0,7,2009,WD ,Normal,20,7,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,33.641936302555735,4.394449154672439,6.423246963533519,0.0,8.124029576189299,9.276315360899716,0.0,296.55044825615647,7.046647277848756,204.3038278558452,0.0,5.484796933490655,False,5.991464547107982
2524,708,905201020,960,20,RL,94.0,9239,Pave,None,4,Lvl,AllPub,Inside,3,Sawyer,Feedr,Norm,1Fam,1Story,5,8,1963,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,6,634.0,1,0.0,326.0,960.0,GasA,5,Y,SBrkr,960,0,0,1.0,0.0,1,0,3,1,4,6,8,0,0,Attchd,1963.0,Fin,1.0,300.0,3,3,Y,168,0,0,0,0,0,,No,No,0,5,2008,WD ,Normal,20,5,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0,38.02793334586366,4.553876891600541,5.7899601708972535,0.0,7.8875339001521185,9.131188933670746,0.0,283.9842024656734,6.866933284461882,125.6714687469987,5.1298987149230735,0.0,False,6.453624998892692
