,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,log_price,bc_GrLivArea,has_pool,has_miscfeature,alley_access,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,PavedDrive_P,PavedDrive_Y,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MSSubClass_60,MSSubClass_50,MSSubClass_30
1140,1655,175900,60,RL,75.0,10000,Pave,3,Lvl,AllPub,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1993.0,Fin,2.0,440.0,3,3,Y,157,84,0,0,0,0,No,0,4,2010,WD ,Normal,12.077670930725649,9.295394700298562,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
398,1256,147500,20,RL,75.0,9937,Pave,4,Lvl,AllPub,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,0,4,830.0,2,290.0,136.0,1256.0,GasA,4,Y,SBrkr,1256,0,0,1.0,0.0,1,1,3,1,3,6,8,0,0,Attchd,1965.0,Fin,1.0,276.0,3,3,Y,736,68,0,0,0,0,No,0,6,2008,WD ,Normal,11.901583454762012,8.87176205942521,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
894,1459,192000,20,RL,70.0,8749,Pave,4,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,100.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1459.0,1459.0,GasA,5,Y,SBrkr,1459,0,0,0.0,0.0,2,0,3,1,4,6,8,1,4,Attchd,2002.0,RFn,2.0,527.0,3,3,Y,192,39,0,0,0,0,No,0,9,2007,WD ,Normal,12.165250651009918,9.100973665608608,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2422,1935,197900,60,RL,,12384,Pave,4,Lvl,AllPub,CulDSac,3,NWAmes,Norm,Norm,1Fam,2Story,7,7,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,233.0,3,3,CBlock,4,3,0,1,0.0,1,0.0,793.0,793.0,GasA,3,Y,SBrkr,1142,793,0,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1976.0,RFn,2.0,550.0,3,3,Y,0,113,252,0,0,0,No,0,11,2007,WD ,Normal,12.195517131590657,9.538499773418117,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2548,813,110000,30,RM,70.0,5684,Pave,4,Lvl,AllPub,Inside,3,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0.0,1,0.0,813.0,813.0,GasA,5,Y,FuseA,813,0,0,0.0,0.0,1,0,2,1,4,5,8,0,0,Detchd,1932.0,Unf,1.0,270.0,2,2,N,0,113,0,0,0,0,No,0,6,2006,WD ,Normal,11.608235644774552,8.21767289105604,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
393,1788,236500,20,RL,,11838,Pave,4,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,1,0.0,1,0.0,1753.0,1753.0,GasA,5,Y,SBrkr,1788,0,0,0.0,0.0,2,0,3,1,5,7,8,1,3,Attchd,2001.0,RFn,2.0,522.0,3,3,Y,202,151,0,0,0,0,No,0,6,2009,WD ,Normal,12.373703486914124,9.415335063360217,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2468,2097,228000,60,RL,59.0,11228,Pave,2,Lvl,AllPub,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,4,50.0,6,531.0,499.0,1080.0,GasA,5,Y,SBrkr,1080,1017,0,0.0,1.0,2,1,3,1,4,9,8,1,3,Attchd,1993.0,Unf,3.0,678.0,3,3,Y,196,187,0,0,0,0,No,0,12,2008,WD ,Normal,12.337100907936577,9.6644229894725,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
138,1277,167000,20,RL,85.0,10628,Pave,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,3,4,CBlock,3,4,3,6,778.0,1,0.0,499.0,1277.0,GasA,3,Y,SBrkr,1277,0,0,1.0,0.0,1,0,2,1,3,5,8,1,1,Attchd,1970.0,Unf,2.0,526.0,3,3,Y,0,0,0,0,176,0,GdWo,0,4,2007,WD ,Normal,12.025749091398891,8.897030918521711,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,1806,144750,60,RL,76.0,7570,Pave,4,Lvl,AllPub,Corner,3,NAmes,Norm,Norm,1Fam,2Story,6,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,420.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,780.0,780.0,GasA,3,Y,SBrkr,993,813,0,0.0,0.0,1,1,4,1,3,8,8,0,0,Attchd,1964.0,Unf,2.0,483.0,3,3,Y,0,55,0,0,0,0,No,0,3,2009,WD ,Normal,11.882763395435243,9.43091803752572,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1549,729,52000,30,RL,56.0,4130,Pave,3,Lvl,AllPub,Inside,3,BrkSide,Norm,Norm,1Fam,1Story,3,6,1935,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,CBlock,3,3,0,1,0.0,1,0.0,270.0,270.0,GasA,4,Y,SBrkr,729,0,0,0.0,0.0,1,0,2,1,3,5,3,0,0,No,,No,0.0,0.0,0,0,N,0,0,0,0,0,0,No,0,7,2008,WD ,Normal,10.858998997563564,8.05628571214131,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
