,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,log_price,bc_GrLivArea,has_pool,has_miscfeature,alley_access,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,PavedDrive_P,PavedDrive_Y,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MSSubClass_60,MSSubClass_50,MSSubClass_30
1232,1664,162900,60,RL,78.0,10140,Pave,4,Lvl,AllPub,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,7,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,0,6,194.0,1,0.0,638.0,832.0,GasA,3,Y,SBrkr,832,832,0,0.0,0.0,2,1,4,1,3,8,8,1,3,Attchd,1976.0,RFn,2.0,528.0,3,3,Y,0,28,0,0,259,0,GdWo,0,3,2006,WD ,Normal,12.000891794590137,9.303792203336855,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2381,1268,133000,40,RL,60.0,12144,Pave,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1949,1950,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,0,3,375.0,1,0.0,457.0,832.0,GasA,4,Y,SBrkr,1036,0,232,0.0,0.0,1,0,3,1,3,6,8,1,4,Attchd,1949.0,Unf,1.0,288.0,3,3,Y,0,28,0,0,0,0,No,0,9,2009,WD ,Normal,11.79810440720389,8.88624965006616,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
810,1628,189000,80,RL,60.0,8400,Pave,4,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,BrkFace,32.0,3,3,PConc,4,3,0,6,284.0,1,0.0,100.0,384.0,GasA,4,Y,SBrkr,958,670,0,0.0,0.0,2,1,3,1,3,7,8,1,3,BuiltIn,1996.0,Fin,2.0,390.0,3,3,Y,48,72,0,0,0,0,No,490,6,2009,WD ,Normal,12.14950229404178,9.269941847957906,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
863,2270,290000,60,RL,92.0,11764,Pave,3,Lvl,AllPub,CulDSac,3,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,3,PConc,4,3,0,6,524.0,1,0.0,628.0,1152.0,GasA,5,Y,SBrkr,1164,1106,0,0.0,0.0,2,1,4,1,4,9,8,1,4,Attchd,1999.0,Fin,3.0,671.0,3,3,Y,132,57,0,0,0,0,No,0,4,2010,WD ,Normal,12.577636201962656,9.789164889406715,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1346,1482,143000,70,RM,50.0,9000,Pave,4,Lvl,AllPub,Inside,3,OldTown,Artery,Norm,1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,3,3,0,5,624.0,1,0.0,26.0,650.0,GasA,5,Y,SBrkr,832,650,0,0.0,1.0,1,0,3,1,3,7,8,0,0,Detchd,1930.0,Unf,2.0,324.0,3,3,Y,0,0,0,0,0,0,No,0,7,2009,WD ,Normal,11.870599909242044,9.12502051378143,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
367,1664,159000,50,RM,50.0,5000,Pave,4,Lvl,AllPub,Corner,3,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,0,5,399.0,1,0.0,605.0,1004.0,GasA,5,Y,SBrkr,1004,660,0,0.0,0.0,2,0,3,1,3,7,8,2,4,Detchd,1950.0,Unf,2.0,420.0,3,3,Y,0,24,36,0,0,0,No,0,10,2006,WD ,Normal,11.976659481202368,9.303792203336855,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
377,1123,100000,50,RM,50.0,6060,Pave,4,Lvl,AllPub,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,PConc,3,3,0,1,0.0,1,0.0,732.0,732.0,GasA,4,Y,SBrkr,772,351,0,0.0,0.0,1,0,3,1,3,4,8,0,0,Detchd,1979.0,Unf,1.0,264.0,3,3,P,0,0,140,0,0,0,MnPrv,0,6,2007,WD ,Normal,11.512925464970229,8.701837163907117,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
316,1271,135000,50,RL,115.0,21286,Pave,4,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,720.0,720.0,GasA,3,Y,SBrkr,720,551,0,0.0,0.0,2,0,4,1,3,7,8,1,4,Attchd,1948.0,Unf,1.0,312.0,3,3,Y,0,0,108,0,0,0,No,0,8,2008,WD ,Normal,11.813030057420567,8.889851385201908,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1212,1736,360000,20,RL,95.0,11578,Pave,4,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,302.0,5,3,PConc,5,3,0,1,0.0,1,0.0,1736.0,1736.0,GasA,5,Y,SBrkr,1736,0,0,0.0,0.0,2,0,3,1,5,7,8,1,4,Attchd,2008.0,RFn,3.0,834.0,3,3,Y,319,90,0,0,0,0,No,0,7,2009,WD ,Normal,12.793859310432293,9.36947389664483,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1751,784,109500,45,RM,50.0,6130,Pave,4,Lvl,AllPub,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,5,784.0,1,0.0,0.0,784.0,GasA,4,Y,SBrkr,784,0,0,1.0,0.0,1,0,2,1,4,5,8,0,0,No,,No,0.0,0.0,0,0,Y,0,0,116,0,0,0,No,0,5,2008,WD ,Normal,11.603679828238693,8.163806791143601,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
