,SalePrice
1711,123000
1729,154400
2407,139000
287,372500
2410,326000
733,335000
512,253293
766,119000
1673,127000
2524,144900
655,100500
2099,153600
553,171000
1806,154000
279,118000
2179,238000
253,174500
663,153575
250,201490
169,111500
2427,128500
2340,185000
1837,173000
924,394617
1974,110000
2086,115000
2166,137000
31,173500
2416,140000
1188,128000
1553,237000
1363,167000
1273,187000
1880,113000
2404,315000
1598,120000
2214,153500
2443,137000
1989,139000
1358,256000
359,217000
369,168000
794,80000
309,184750
1462,175500
2489,145000
1768,122000
818,157000
906,370000
918,157500
2032,159000
2161,195000
1428,82375
87,165000
2266,72500
1719,155000
2490,128500
141,198900
64,128200
951,336820
2151,265900
2066,140000
2358,244000
521,192000
2110,201000
1683,165000
2248,150000
2341,179900
77,144000
1564,165000
393,236500
2031,113000
262,261329
1753,297000
898,200000
240,79400
721,116000
2276,215000
2235,140000
1254,160200
2519,140500
1573,207000
810,189000
2562,179000
1275,119164
799,163000
1824,89900
1453,127500
381,181500
1295,235000
1906,126000
1999,260000
1458,73000
1127,120000
2287,90350
2295,148000
1426,185000
491,369900
106,73000
1236,110000
85,132500
202,164990
836,120500
15,163000
474,135000
1183,97900
118,160000
1950,163000
1866,312500
1303,160000
502,130000
1293,162500
701,275000
1073,103000
2326,192000
654,139500
2572,109900
1513,188700
633,128900
1000,305900
2093,176500
1421,145000
1109,267000
600,159000
1323,197900
1140,175900
2501,185000
1256,190000
825,143000
793,121500
1567,253000
791,137000
1334,106000
2204,160000
883,285000
310,132000
735,134500
187,135000
298,212500
636,220000
1052,113500
775,245000
2079,179900
1379,200000
2555,224900
415,218836
516,115000
917,39300
1041,184900
2478,110000
2184,165500
564,213000
294,130000
2537,201000
1018,141000
1610,103600
2073,122500
1138,200000
572,275000
1873,81000
267,55000
2069,112000
2212,152000
1761,165000
144,126000
1367,109900
1161,205000
2029,200000
260,219000
806,192500
781,334000
832,116500
1242,255900
1635,250000
2045,133000
1343,115000
937,135000
2568,112900
1151,266500
1277,138000
1450,116000
1465,374000
1657,177000
522,394432
2494,222500
295,179900
2061,145250
1864,144000
2549,200000
546,236000
2127,177000
2495,114500
1783,191000
2268,224000
223,142250
2368,470000
2365,114900
1366,171500
360,195000
139,138500
620,186000
1621,140000
34,155000
1927,178000
2304,270000
2259,132500
376,204000
1803,127000
2123,173000
2062,226750
2569,185000
1280,154000
2230,94550
946,150000
1493,130000
234,115000
2553,126000
1669,133500
2149,120000
1530,213490
2200,94500
506,143000
2386,177900
2380,189000
1752,121000
1217,155000
629,455000
61,154000
1093,133000
2320,166500
2106,190000
227,64000
2058,106500
1981,106250
526,130500
92,145000
1770,175000
519,271000
1239,172900
1173,79000
1385,177000
1979,85000
2394,141000
1423,112500
72,214000
1436,106000
2438,93000
762,119900
36,196000
1597,232000
1427,244000
2052,237000
142,145000
1185,122900
1572,75000
1491,162000
2157,200000
1449,176000
2218,345000
152,262000
1841,96500
2183,127000
42,186000
2241,132000
5,198500
55,140000
1126,108500
987,224500
511,128000
2239,124500
1817,194000
1787,106000
1503,210000
1990,130500
893,130000
2500,178400
1735,180000
473,115000
1686,285000
985,166000
335,152000
551,127500
1580,149900
66,158000
1738,238000
718,115000
1655,330000
140,102000
1029,137000
1110,127500
1129,253000
583,200825
2527,242500
1859,132000
1776,207000
1820,183000
102,132000
2085,94000
278,134900
1287,144000
185,164000
1588,184000
1715,135000
2459,129500
724,137000
2409,187000
19,131250
468,268000
54,179000
1456,105000
1642,135000
2053,109000
1424,152000
1405,249000
1515,150500
750,160000
2190,124500
82,120000
122,184900
1942,129400
1798,180400
2480,176000
1495,248000
1136,202500
1146,403000
689,68500
1069,196000
214,500000
2308,284700
1518,134500
2143,280000
2224,234000
1076,126000
796,301000
1746,113000
315,155000
2475,105000
159,133500
1467,209500
318,128500
717,185850
2173,198000
2577,145000
190,150000
598,155000
978,160000
2131,169500
1907,225000
1794,137500
811,129500
534,173500
479,142500
974,125000
2240,190000
726,228000
2541,162900
1332,313000
1448,124000
2444,172500
1008,204000
2245,148000
408,235128
434,178000
1721,130000
219,102000
383,158000
1569,200000
272,202665
1704,150900
1261,179900
813,192500
866,123000
1647,129000
2396,107500
268,170000
481,149000
2035,175000
1203,197000
2219,207500
2077,241500
1870,135900
347,385000
1724,185000
1145,154000
658,189000
590,107500
1264,233000
2314,227000
89,189900
2397,85500
644,35311
760,271000
1050,137000
177,260400
823,260116
1516,279900
2301,153500
1117,146000
1774,98000
1965,183200
1210,153000
785,129000
2,124900
1836,103000
1945,175900
108,500067
1317,410000
1523,84500
1670,144500
171,125500
412,141000
1195,190000
416,322500
1240,184000
2279,141000
364,149900
2070,275500
740,40000
73,392500
2057,115000
1327,250000
312,183500
1833,319900
856,185000
378,105000
2450,184000
154,148000
2047,126500
2400,135000
1663,160250
930,315000
1855,184900
1376,275000
308,315000
1001,257500
2534,152000
1962,126000
965,185000
1712,275000
1080,118500
632,230500
1228,110000
955,184000
1226,154000
178,135000
498,194000
340,207500
1222,192000
1983,119000
2019,122000
198,321000
2336,202000
1935,94750
1349,143000
1166,96000
1680,129500
1521,227000
2094,102000
759,195000
170,142900
773,113000
2148,287500
992,175000
45,325300
467,387000
2464,93000
2319,168000
1708,230000
319,196500
184,249700
1559,167000
1593,184100
1767,177000
1594,157000
1355,205950
839,103400
2312,316600
2158,119000
744,129500
539,137900
1154,300000
801,113000
2194,231500
1135,128000
210,223000
1499,185000
1781,123000
65,615000
863,290000
2145,263000
1485,294000
203,144100
1132,180500
1021,320000
1825,142000
1026,188500
2246,119500
341,172500
2559,159500
875,143500
1120,116500
372,120000
576,124000
942,386250
211,151000
520,95000
939,208300
889,132500
1977,127000
2226,223500
1431,124000
1796,222000
354,336860
96,99000
2129,158500
589,142953
2503,228000
2379,250000
1615,178900
513,214000
71,210400
1418,175000
1972,245000
1702,120000
456,142000
725,125000
68,169000
1371,294000
2511,275500
1639,610000
881,148800
1422,241500
231,168000
377,100000
862,146800
432,250000
994,315750
1668,315000
1143,159500
1577,213000
2196,445000
2140,152000
1248,135000
814,250000
2033,117250
218,127000
948,120500
16,203000
1846,179200
367,159000
1128,141000
884,184500
1319,171500
2306,135000
2411,178000
2382,149900
2103,190000
1414,145900
2317,179900
1726,150000
984,148000
542,129200
803,85400
677,103500
406,93000
552,144000
362,168500
549,165500
970,149000
2180,165000
1706,167300
940,142600
1691,123000
2095,135000
788,182000
1809,125500
355,375000
1299,225000
2533,137900
1412,230000
1486,225000
2305,155500
642,183000
1547,134000
554,217000
2436,256000
693,123000
2063,151000
2277,188500
649,249000
2136,135500
1727,466500
420,121000
593,122000
2413,133000
339,128500
1652,149500
1754,58500
2299,239900
706,144000
2207,148500
1599,155000
1881,93500
2532,157000
960,119900
1265,176500
1164,158500
1689,98000
2283,137500
1743,96000
500,128000
147,145000
258,159000
769,169000
13,159000
1902,105000
1695,284000
1759,100000
114,165150
957,146500
2441,213000
241,259500
1766,167900
1354,112500
679,140000
2574,196500
56,395000
1252,235000
435,350000
2491,158450
2516,164000
155,113000
2578,217500
1361,148800
1016,144500
60,72000
29,450000
782,114000
35,220000
2168,325000
1171,219500
1310,270000
1060,210900
358,182000
1123,307000
499,178000
524,381000
1200,248500
737,124500
1958,155000
265,103500
1632,136500
1315,135500
2359,211000
1984,275000
1625,226500
1550,60000
336,61500
548,192000
2001,206000
1709,182000
887,185000
2515,143750
494,263000
580,91900
2302,128000
1851,192000
431,143000
1189,227000
1229,254900
2109,131750
2267,111500
212,149500
1876,135000
1064,64500
1245,138500
75,156932
2472,131500
1312,360000
2356,180000
1031,82500
2244,80000
247,136870
1679,136000
186,220000
1590,109500
668,177500
1478,185000
1336,65000
8,137500
1075,286000
1544,82000
631,132500
2144,127000
1736,189000
1105,139500
32,199500
134,213000
1124,270000
445,112000
226,152400
464,131750
455,83000
2313,146500
2554,178000
999,156000
1603,189950
1937,84500
752,315000
2512,291000
533,185000
243,132000
401,97000
585,160000
244,342000
1648,147000
2290,229000
1340,91000
450,176400
1227,111000
1893,275000
1697,336000
285,107000
471,229000
1661,176000
2454,119000
2227,152000
1507,279000
2015,149000
871,198500
1646,157000
611,142500
1537,250000
1407,64500
426,185000
1184,212000
1607,127000
1014,244000
1519,171000
1959,178750
2028,350000
1568,136000
1571,134900
1901,170000
1555,238500
678,197500
1044,195000
2538,159900
943,213750
1218,161500
1498,233500
1065,144000
2172,160000
2134,158000
49,110000
540,300000
110,107500
1976,169000
510,63000
44,148000
1115,151400
1269,191500
1916,306000
1324,178000
78,88000
269,209500
1543,78000
826,239900
313,224500
2254,99900
1307,384500
1351,143000
911,254900
1430,220000
697,85500
338,137000
466,181900
1019,131000
363,118500
2522,119000
2414,123000
1344,219500
1360,145000
2097,188000
1094,270000
2124,146000
1524,149000
