,features,coef,abs_val
0,bc_GrLivArea,0.1300228645199251,0.1300228645199251
24,OverallQual,0.06809302929783101,0.06809302929783101
22,YearBuilt,0.056747945303071895,0.056747945303071895
46,OverallCond,0.04700531706615732,0.04700531706615732
29,BsmtFinSF1,0.03356488307483993,0.03356488307483993
1,log_LotArea,0.032605075175290744,0.032605075175290744
90,Neighborhood_Somerst,0.022657349963251215,0.022657349963251215
105,Condition2_PosN,-0.020017705912162113,0.020017705912162113
95,Condition1_Norm,0.0199095617055893,0.0199095617055893
42,Functional,0.018452973267720017,0.018452973267720017
72,Neighborhood_Crawfor,0.017298867261256828,0.017298867261256828
21,Fireplaces,0.017292797400612923,0.017292797400612923
3,yeo_TotalBsmtSF,0.01593291766655717,0.01593291766655717
85,Neighborhood_NridgHt,0.01583114841602897,0.01583114841602897
91,Neighborhood_StoneBr,0.015721253107116064,0.015721253107116064
133,Exterior1st_BrkFace,0.015234154699161784,0.015234154699161784
76,Neighborhood_GrnHill,0.01464197288699157,0.01464197288699157
5,yeo_GarageArea,0.014521970148085239,0.014521970148085239
44,GarageCars,0.013916761623845291,0.013916761623845291
17,BsmtExposure,0.013808246287682674,0.013808246287682674
39,KitchenQual,0.013751343478374482,0.013751343478374482
54,MSZoning_RL,0.013275336070700746,0.013275336070700746
197,SaleCondition_Partial,0.013039067624003243,0.013039067624003243
4,log_first_FlrSF,0.013007197828888333,0.013007197828888333
84,Neighborhood_NoRidge,0.012300456974752398,0.012300456974752398
15,YearRemodAdd,0.012252126428420523,0.012252126428420523
35,BsmtQual,0.011557902722174303,0.011557902722174303
50,MSZoning_C (all),-0.011316357041402575,0.011316357041402575
45,ExterQual,0.010708938214079537,0.010708938214079537
73,Neighborhood_Edwards,-0.010230200404948656,0.010230200404948656
37,HeatingQC,0.009456413928788656,0.009456413928788656
130,RoofMatl_WdShngl,0.009142272123218474,0.009142272123218474
157,Exterior2nd_VinylSd,0.008658059186575784,0.008658059186575784
69,Neighborhood_BrkSide,0.00852714978534874,0.00852714978534874
27,BsmtFullBath,0.008427613526820046,0.008427613526820046
183,GarageType_No,0.008332338069868434,0.008332338069868434
18,BsmtFinSF2,0.008216467086577178,0.008216467086577178
110,BldgType_Duplex,-0.008114849681013746,0.008114849681013746
173,CentralAir_Y,0.008066407013872718,0.008066407013872718
11,log_LotFrontage,0.007900101640921846,0.007900101640921846
28,GarageCond,0.007893624756653103,0.007893624756653103
97,Condition1_PosN,0.007474533888820317,0.007474533888820317
195,SaleCondition_Family,-0.007439654304295171,0.007439654304295171
40,TotRmsAbvGrd,0.007358515542877941,0.007358515542877941
196,SaleCondition_Normal,0.0066271951555977315,0.0066271951555977315
79,Neighborhood_MeadowV,-0.0059241790708951594,0.0059241790708951594
188,PavedDrive_Y,0.0058641491864530795,0.0058641491864530795
25,ScreenPorch,0.005772322479908122,0.005772322479908122
194,SaleCondition_Alloca,0.005608081980318287,0.005608081980318287
123,RoofStyle_Mansard,-0.005396555530570628,0.005396555530570628
19,EnclosedPorch,0.005293222391048267,0.005293222391048267
14,BsmtFinType1,0.005192600179588755,0.005192600179588755
164,Foundation_PConc,0.005172691662868428,0.005172691662868428
118,HouseStyle_SFoyer,0.004975108457293011,0.004975108457293011
104,Condition2_PosA,0.00495311392490342,0.00495311392490342
41,KitchenAbvGr,-0.004880720979249522,0.004880720979249522
185,GarageFinish_RFn,-0.004694898918433984,0.004694898918433984
48,MSSubClass,-0.004674674281157465,0.004674674281157465
34,FullBath,0.00442025459031421,0.00442025459031421
89,Neighborhood_SawyerW,-0.004416240305457396,0.004416240305457396
121,RoofStyle_Gambrel,-0.004165558051591534,0.004165558051591534
31,LandSlope,-0.004146658472678984,0.004146658472678984
82,Neighborhood_NPkVill,0.004090679374075102,0.004090679374075102
70,Neighborhood_ClearCr,0.003972296799454825,0.003972296799454825
132,Exterior1st_BrkComm,0.0039179700656120425,0.0039179700656120425
62,Utilities_NoSewr,-0.0038984554857014434,0.0038984554857014434
179,GarageType_Basment,-0.003824043410288331,0.003824043410288331
8,has_pool,0.003744984153823864,0.003744984153823864
75,Neighborhood_Greens,0.0037193442416702336,0.0037193442416702336
88,Neighborhood_Sawyer,0.003601511609004128,0.003601511609004128
6,log_WoodDeckSF,0.0035224850764680625,0.0035224850764680625
96,Condition1_PosA,0.0035177546903062437,0.0035177546903062437
117,HouseStyle_2Story,-0.003361878245009521,0.003361878245009521
169,Heating_GasW,0.0033233881195180188,0.0033233881195180188
170,Heating_Grav,-0.0032411212786156492,0.0032411212786156492
102,Condition2_Feedr,-0.0030375583934852714,0.0030375583934852714
43,BedroomAbvGr,-0.0029998625981103593,0.0029998625981103593
138,Exterior1st_MetalSd,0.002802043258125816,0.002802043258125816
30,HalfBath,0.002746043882642014,0.002746043882642014
